,siteID,statistic,forecast,data_assimilation,time,nee,le,vswc
80,SRER,mean,1,0,2/20/2021,-0.719761725,44.36595861,NaN
81,BART,mean,1,0,2/21/2021,0.842785987,12.40602745,0
82,KONZ,mean,1,0,2/21/2021,0.365766184,11.04692263,0.220528484
83,OSBS,mean,1,0,2/21/2021,-1.38369994,46.77556764,NaN
84,SRER,mean,1,0,2/21/2021,-0.719761725,44.36595861,NaN
85,BART,mean,1,0,2/22/2021,0.842785987,12.40602745,0
86,KONZ,mean,1,0,2/22/2021,0.365766184,11.04692263,0.220528484
87,OSBS,mean,1,0,2/22/2021,-1.38369994,46.77556764,NaN
88,SRER,mean,1,0,2/22/2021,-0.719761725,44.36595861,NaN
89,BART,mean,1,0,2/23/2021,0.842785987,12.40602745,0
90,KONZ,mean,1,0,2/23/2021,0.365766184,11.04692263,0.220528484
91,OSBS,mean,1,0,2/23/2021,-1.38369994,46.77556764,NaN
92,SRER,mean,1,0,2/23/2021,-0.719761725,44.36595861,NaN
93,BART,mean,1,0,2/24/2021,0.842785987,12.40602745,0
94,KONZ,mean,1,0,2/24/2021,0.365766184,11.04692263,0.220528484
95,OSBS,mean,1,0,2/24/2021,-1.38369994,46.77556764,NaN
96,SRER,mean,1,0,2/24/2021,-0.719761725,44.36595861,NaN
97,BART,mean,1,0,2/25/2021,0.842785987,12.40602745,0
98,KONZ,mean,1,0,2/25/2021,0.365766184,11.04692263,0.220528484
99,OSBS,mean,1,0,2/25/2021,-1.38369994,46.77556764,NaN
100,SRER,mean,1,0,2/25/2021,-0.719761725,44.36595861,NaN
101,BART,mean,1,0,2/26/2021,0.842785987,12.40602745,0
102,KONZ,mean,1,0,2/26/2021,0.365766184,11.04692263,0.220528484
103,OSBS,mean,1,0,2/26/2021,-1.38369994,46.77556764,NaN
104,SRER,mean,1,0,2/26/2021,-0.719761725,44.36595861,NaN
105,BART,mean,1,0,2/27/2021,0.842785987,12.40602745,0
106,KONZ,mean,1,0,2/27/2021,0.365766184,11.04692263,0.220528484
107,OSBS,mean,1,0,2/27/2021,-1.38369994,46.77556764,NaN
108,SRER,mean,1,0,2/27/2021,-0.719761725,44.36595861,NaN
109,BART,mean,1,0,2/28/2021,0.842785987,12.40602745,0
110,KONZ,mean,1,0,2/28/2021,0.365766184,11.04692263,0.220528484
111,OSBS,mean,1,0,2/28/2021,-1.38369994,46.77556764,NaN
112,SRER,mean,1,0,2/28/2021,-0.719761725,44.36595861,NaN
117,BART,mean,1,0,3/1/2021,0.842785987,12.40602745,0
118,KONZ,mean,1,0,3/1/2021,0.365766184,11.04692263,0.220528484
119,OSBS,mean,1,0,3/1/2021,-1.38369994,46.77556764,NaN
120,SRER,mean,1,0,3/1/2021,-0.719761725,44.36595861,NaN
121,BART,mean,1,0,3/2/2021,0.842785987,12.40602745,0
122,KONZ,mean,1,0,3/2/2021,0.365766184,11.04692263,0.220528484
123,OSBS,mean,1,0,3/2/2021,-1.38369994,46.77556764,NaN
124,SRER,mean,1,0,3/2/2021,-0.719761725,44.36595861,NaN
125,BART,mean,1,0,3/3/2021,0.842785987,12.40602745,0
126,KONZ,mean,1,0,3/3/2021,0.365766184,11.04692263,0.220528484
127,OSBS,mean,1,0,3/3/2021,-1.38369994,46.77556764,NaN
128,SRER,mean,1,0,3/3/2021,-0.719761725,44.36595861,NaN
129,BART,mean,1,0,3/4/2021,0.842785987,12.40602745,0
130,KONZ,mean,1,0,3/4/2021,0.365766184,11.04692263,0.220528484
131,OSBS,mean,1,0,3/4/2021,-1.38369994,46.77556764,NaN
132,SRER,mean,1,0,3/4/2021,-0.719761725,44.36595861,NaN
133,BART,mean,1,0,3/5/2021,0.842785987,12.40602745,0
134,KONZ,mean,1,0,3/5/2021,0.365766184,11.04692263,0.220528484
135,OSBS,mean,1,0,3/5/2021,-1.38369994,46.77556764,NaN
136,SRER,mean,1,0,3/5/2021,-0.719761725,44.36595861,NaN
137,BART,mean,1,0,3/6/2021,0.842785987,12.40602745,0
138,KONZ,mean,1,0,3/6/2021,0.365766184,11.04692263,0.220528484
139,OSBS,mean,1,0,3/6/2021,-1.38369994,46.77556764,NaN
140,SRER,mean,1,0,3/6/2021,-0.719761725,44.36595861,NaN
141,BART,mean,1,0,3/7/2021,0.842785987,12.40602745,0
142,KONZ,mean,1,0,3/7/2021,0.365766184,11.04692263,0.220528484
143,OSBS,mean,1,0,3/7/2021,-1.38369994,46.77556764,NaN
144,SRER,mean,1,0,3/7/2021,-0.719761725,44.36595861,NaN
241,BART,sd,1,0,2/1/2021,0.954282451,16.40435995,0.05
242,KONZ,sd,1,0,2/1/2021,0.371136706,15.34803656,0.002968724
243,OSBS,sd,1,0,2/1/2021,4.18594953,50.71564311,NaN
244,SRER,sd,1,0,2/1/2021,0.795100129,28.9594957,NaN
245,BART,sd,1,0,2/2/2021,0.954282451,16.40435995,0.05
246,KONZ,sd,1,0,2/2/2021,0.371136706,15.34803656,0.002968724
247,OSBS,sd,1,0,2/2/2021,4.18594953,50.71564311,NaN
248,SRER,sd,1,0,2/2/2021,0.795100129,28.9594957,NaN
249,BART,sd,1,0,2/3/2021,0.954282451,16.40435995,0.05
250,KONZ,sd,1,0,2/3/2021,0.371136706,15.34803656,0.002968724
251,OSBS,sd,1,0,2/3/2021,4.18594953,50.71564311,NaN
252,SRER,sd,1,0,2/3/2021,0.795100129,28.9594957,NaN
253,BART,sd,1,0,2/4/2021,0.954282451,16.40435995,0.05
254,KONZ,sd,1,0,2/4/2021,0.371136706,15.34803656,0.002968724
255,OSBS,sd,1,0,2/4/2021,4.18594953,50.71564311,NaN
256,SRER,sd,1,0,2/4/2021,0.795100129,28.9594957,NaN
257,BART,sd,1,0,2/5/2021,0.954282451,16.40435995,0.05
258,KONZ,sd,1,0,2/5/2021,0.371136706,15.34803656,0.002968724
259,OSBS,sd,1,0,2/5/2021,4.18594953,50.71564311,NaN
260,SRER,sd,1,0,2/5/2021,0.795100129,28.9594957,NaN
261,BART,sd,1,0,2/6/2021,0.954282451,16.40435995,0.05
262,KONZ,sd,1,0,2/6/2021,0.371136706,15.34803656,0.002968724
263,OSBS,sd,1,0,2/6/2021,4.18594953,50.71564311,NaN
264,SRER,sd,1,0,2/6/2021,0.795100129,28.9594957,NaN
265,BART,sd,1,0,2/7/2021,0.954282451,16.40435995,0.05
266,KONZ,sd,1,0,2/7/2021,0.371136706,15.34803656,0.002968724
267,OSBS,sd,1,0,2/7/2021,4.18594953,50.71564311,NaN
268,SRER,sd,1,0,2/7/2021,0.795100129,28.9594957,NaN
269,BART,sd,1,0,2/8/2021,0.954282451,16.40435995,0.05
270,KONZ,sd,1,0,2/8/2021,0.371136706,15.34803656,0.002968724
271,OSBS,sd,1,0,2/8/2021,4.18594953,50.71564311,NaN
272,SRER,sd,1,0,2/8/2021,0.795100129,28.9594957,NaN
273,BART,sd,1,0,2/9/2021,0.954282451,16.40435995,0.05
274,KONZ,sd,1,0,2/9/2021,0.371136706,15.34803656,0.002968724
275,OSBS,sd,1,0,2/9/2021,4.18594953,50.71564311,NaN
276,SRER,sd,1,0,2/9/2021,0.795100129,28.9594957,NaN
277,BART,sd,1,0,2/10/2021,0.954282451,16.40435995,0.05
278,KONZ,sd,1,0,2/10/2021,0.371136706,15.34803656,0.002968724
279,OSBS,sd,1,0,2/10/2021,4.18594953,50.71564311,NaN
280,SRER,sd,1,0,2/10/2021,0.795100129,28.9594957,NaN
281,BART,sd,1,0,2/11/2021,0.954282451,16.40435995,0.05
282,KONZ,sd,1,0,2/11/2021,0.371136706,15.34803656,0.002968724
283,OSBS,sd,1,0,2/11/2021,4.18594953,50.71564311,NaN
284,SRER,sd,1,0,2/11/2021,0.795100129,28.9594957,NaN
285,BART,sd,1,0,2/12/2021,0.954282451,16.40435995,0.05
286,KONZ,sd,1,0,2/12/2021,0.371136706,15.34803656,0.002968724
287,OSBS,sd,1,0,2/12/2021,4.18594953,50.71564311,NaN
288,SRER,sd,1,0,2/12/2021,0.795100129,28.9594957,NaN
289,BART,sd,1,0,2/13/2021,0.954282451,16.40435995,0.05
290,KONZ,sd,1,0,2/13/2021,0.371136706,15.34803656,0.002968724
291,OSBS,sd,1,0,2/13/2021,4.18594953,50.71564311,NaN
292,SRER,sd,1,0,2/13/2021,0.795100129,28.9594957,NaN
293,BART,sd,1,0,2/14/2021,0.954282451,16.40435995,0.05
294,KONZ,sd,1,0,2/14/2021,0.371136706,15.34803656,0.002968724
295,OSBS,sd,1,0,2/14/2021,4.18594953,50.71564311,NaN
296,SRER,sd,1,0,2/14/2021,0.795100129,28.9594957,NaN
297,BART,sd,1,0,2/15/2021,0.954282451,16.40435995,0.05
298,KONZ,sd,1,0,2/15/2021,0.371136706,15.34803656,0.002968724
299,OSBS,sd,1,0,2/15/2021,4.18594953,50.71564311,NaN
300,SRER,sd,1,0,2/15/2021,0.795100129,28.9594957,NaN
301,BART,sd,1,0,2/16/2021,0.954282451,16.40435995,0.05
302,KONZ,sd,1,0,2/16/2021,0.371136706,15.34803656,0.002968724
303,OSBS,sd,1,0,2/16/2021,4.18594953,50.71564311,NaN
304,SRER,sd,1,0,2/16/2021,0.795100129,28.9594957,NaN
305,BART,sd,1,0,2/17/2021,0.954282451,16.40435995,0.05
306,KONZ,sd,1,0,2/17/2021,0.371136706,15.34803656,0.002968724
307,OSBS,sd,1,0,2/17/2021,4.18594953,50.71564311,NaN
308,SRER,sd,1,0,2/17/2021,0.795100129,28.9594957,NaN
309,BART,sd,1,0,2/18/2021,0.954282451,16.40435995,0.05
310,KONZ,sd,1,0,2/18/2021,0.371136706,15.34803656,0.002968724
311,OSBS,sd,1,0,2/18/2021,4.18594953,50.71564311,NaN
312,SRER,sd,1,0,2/18/2021,0.795100129,28.9594957,NaN
313,BART,sd,1,0,2/19/2021,0.954282451,16.40435995,0.05
314,KONZ,sd,1,0,2/19/2021,0.371136706,15.34803656,0.002968724
315,OSBS,sd,1,0,2/19/2021,4.18594953,50.71564311,NaN
316,SRER,sd,1,0,2/19/2021,0.795100129,28.9594957,NaN
317,BART,sd,1,0,2/20/2021,0.954282451,16.40435995,0.05
318,KONZ,sd,1,0,2/20/2021,0.371136706,15.34803656,0.002968724
319,OSBS,sd,1,0,2/20/2021,4.18594953,50.71564311,NaN
320,SRER,sd,1,0,2/20/2021,0.795100129,28.9594957,NaN
321,BART,sd,1,0,2/21/2021,0.954282451,16.40435995,0.05
322,KONZ,sd,1,0,2/21/2021,0.371136706,15.34803656,0.002968724
323,OSBS,sd,1,0,2/21/2021,4.18594953,50.71564311,NaN
324,SRER,sd,1,0,2/21/2021,0.795100129,28.9594957,NaN
325,BART,sd,1,0,2/22/2021,0.954282451,16.40435995,0.05
326,KONZ,sd,1,0,2/22/2021,0.371136706,15.34803656,0.002968724
327,OSBS,sd,1,0,2/22/2021,4.18594953,50.71564311,NaN
328,SRER,sd,1,0,2/22/2021,0.795100129,28.9594957,NaN
329,BART,sd,1,0,2/23/2021,0.954282451,16.40435995,0.05
330,KONZ,sd,1,0,2/23/2021,0.371136706,15.34803656,0.002968724
331,OSBS,sd,1,0,2/23/2021,4.18594953,50.71564311,NaN
332,SRER,sd,1,0,2/23/2021,0.795100129,28.9594957,NaN
333,BART,sd,1,0,2/24/2021,0.954282451,16.40435995,0.05
334,KONZ,sd,1,0,2/24/2021,0.371136706,15.34803656,0.002968724
335,OSBS,sd,1,0,2/24/2021,4.18594953,50.71564311,NaN
336,SRER,sd,1,0,2/24/2021,0.795100129,28.9594957,NaN
337,BART,sd,1,0,2/25/2021,0.954282451,16.40435995,0.05
338,KONZ,sd,1,0,2/25/2021,0.371136706,15.34803656,0.002968724
339,OSBS,sd,1,0,2/25/2021,4.18594953,50.71564311,NaN
340,SRER,sd,1,0,2/25/2021,0.795100129,28.9594957,NaN
341,BART,sd,1,0,2/26/2021,0.954282451,16.40435995,0.05
342,KONZ,sd,1,0,2/26/2021,0.371136706,15.34803656,0.002968724
343,OSBS,sd,1,0,2/26/2021,4.18594953,50.71564311,NaN
344,SRER,sd,1,0,2/26/2021,0.795100129,28.9594957,NaN
345,BART,sd,1,0,2/27/2021,0.954282451,16.40435995,0.05
346,KONZ,sd,1,0,2/27/2021,0.371136706,15.34803656,0.002968724
347,OSBS,sd,1,0,2/27/2021,4.18594953,50.71564311,NaN
348,SRER,sd,1,0,2/27/2021,0.795100129,28.9594957,NaN
349,BART,sd,1,0,2/28/2021,0.954282451,16.40435995,0.05
350,KONZ,sd,1,0,2/28/2021,0.371136706,15.34803656,0.002968724
351,OSBS,sd,1,0,2/28/2021,4.18594953,50.71564311,NaN
352,SRER,sd,1,0,2/28/2021,0.795100129,28.9594957,NaN
357,BART,sd,1,0,3/1/2021,0.954282451,16.40435995,0.05
358,KONZ,sd,1,0,3/1/2021,0.371136706,15.34803656,0.002968724
359,OSBS,sd,1,0,3/1/2021,4.18594953,50.71564311,NaN
360,SRER,sd,1,0,3/1/2021,0.795100129,28.9594957,NaN
361,BART,sd,1,0,3/2/2021,0.954282451,16.40435995,0.05
362,KONZ,sd,1,0,3/2/2021,0.371136706,15.34803656,0.002968724
363,OSBS,sd,1,0,3/2/2021,4.18594953,50.71564311,NaN
364,SRER,sd,1,0,3/2/2021,0.795100129,28.9594957,NaN
365,BART,sd,1,0,3/3/2021,0.954282451,16.40435995,0.05
366,KONZ,sd,1,0,3/3/2021,0.371136706,15.34803656,0.002968724
367,OSBS,sd,1,0,3/3/2021,4.18594953,50.71564311,NaN
368,SRER,sd,1,0,3/3/2021,0.795100129,28.9594957,NaN
369,BART,sd,1,0,3/4/2021,0.954282451,16.40435995,0.05
370,KONZ,sd,1,0,3/4/2021,0.371136706,15.34803656,0.002968724
371,OSBS,sd,1,0,3/4/2021,4.18594953,50.71564311,NaN
372,SRER,sd,1,0,3/4/2021,0.795100129,28.9594957,NaN
373,BART,sd,1,0,3/5/2021,0.954282451,16.40435995,0.05
374,KONZ,sd,1,0,3/5/2021,0.371136706,15.34803656,0.002968724
375,OSBS,sd,1,0,3/5/2021,4.18594953,50.71564311,NaN
376,SRER,sd,1,0,3/5/2021,0.795100129,28.9594957,NaN
377,BART,sd,1,0,3/6/2021,0.954282451,16.40435995,0.05
378,KONZ,sd,1,0,3/6/2021,0.371136706,15.34803656,0.002968724
379,OSBS,sd,1,0,3/6/2021,4.18594953,50.71564311,NaN
380,SRER,sd,1,0,3/6/2021,0.795100129,28.9594957,NaN
381,BART,sd,1,0,3/7/2021,0.954282451,16.40435995,0.05
382,KONZ,sd,1,0,3/7/2021,0.371136706,15.34803656,0.002968724
383,OSBS,sd,1,0,3/7/2021,4.18594953,50.71564311,NaN
384,SRER,sd,1,0,3/7/2021,0.795100129,28.9594957,NaN
